accent,latitude,longitude
70420,47.4320467,12.2141675
70419,47.5842705,12.5687421
70418,47.6319693,12.3914614
70417,47.5283873,12.5745465
70416,47.5224141,12.4286809
70415,47.498375,12.5502397
70414,47.476011,12.3422357
70413,47.499863,12.3832433
70412,47.6703019,12.4055164
70411,47.4463585,12.3911473
70410,47.5586658,12.4489994
70409,47.4475913,12.3144495
70408,47.3804596,12.4180047
70407,47.4701866,12.1434521
70406,47.4504996,12.1558791
70405,47.4699382,12.6184886
70404,47.53295955,12.345026270277598
70403,47.4762087,12.5454618
70402,47.4494684,12.2494696
70401,47.4139754,12.4315665
70370,47.1312496,11.4536634
70369,47.2733773,11.2422348
70368,47.3183586,11.0068175
70367,47.2935786,11.5907326
70366,47.2720773,11.6070247
70365,47.2873139,11.5652597
70364,47.2523245,11.3279408
70362,47.0548784,11.513744
70361,47.2596685,11.2575503
70360,47.2584056,11.534256
70359,47.0836771,11.4175695
70358,47.29282,11.4738309
70357,47.3046511,11.071515
70356,47.1643915,11.3597328
70355,47.0907467,11.4665722
70354,47.2816648,11.5075337
70353,47.2364565,11.4488053
70352,47.2137965,11.2139832
70351,47.3289241,11.1867187
70350,47.1862866,11.4040555
70349,47.0792921,11.5639472
70348,47.3902687,11.2647993
70347,47.2021738,11.1013913
70346,47.2867829,11.4573834
70345,47.2500026,11.5029614
70344,47.2990916,11.2043597
70343,47.2576977,11.211065
70342,47.2814998,11.1504256
70340,47.2987869,11.0830431
70339,47.2922126,11.1564874
70338,47.2044835,11.4157677
70337,47.24378,11.2467684
70336,47.0165487,11.4196364
70335,47.3015166,11.0951619
70334,47.1106408,11.307579
70333,47.1310958,11.5402532
70332,47.2336947,11.3737585
70331,47.2284492,11.3782646
70329,47.2875371,11.5293358
70328,47.1691886,11.3810841
70326,47.3702802,11.1424534
70325,47.2385132,11.4324242
70323,47.2820492,11.6518634
70322,47.3005638,11.6362229
70320,47.2542856,11.2729463
70319,47.274186,11.1970065
70318,47.2784838,11.1676831
70317,47.0448991,11.3521185
70315,47.2290597,11.2537805
70314,47.1955069,11.1562281
70313,47.0380876,11.4798884
70312,47.2359336,11.3110357
70311,47.3211593,11.5669763
70310,47.1530974,11.3490587
70309,47.3067085,11.5892285
70308,47.2914704,11.1228632
70307,47.18714275,11.481965913116952
70306,47.235717,11.2999641
70305,47.3002987,11.5634636
70304,47.2307532,11.279297
70303,47.2632642,11.4634697
70302,47.2505591,11.4472601
70301,47.2965003,11.5051409
70224,47.1689001,10.7298174
70223,47.1379396,10.9298872
70222,47.2618485,10.7623191
70221,47.2765181,10.9802836
70220,46.9673961,11.0070193
70219,47.2669042,10.9332921
70218,47.2083854,10.8667272
70217,47.0659646,10.8455997
70216,47.2183286,10.8146761
70215,47.2874209,11.0291733
70214,47.2033325,10.8966104
70213,47.2986159,10.9257745
70212,47.3147862,10.8378637
70211,47.2815623,10.9552252
70210,47.2064832,10.6755434
70209,47.341207600000004,10.965634411666404
70208,47.0731881,10.9712246
70207,47.2251808,10.7681674
70206,47.2187457,10.7790772
70205,47.1512086,10.7469146
70204,47.2058377,10.6970143
70203,47.2381536,10.7406982
70202,47.2548587,10.8829105
70201,47.19283,10.7658287
70101,47.2654296,11.3927685
62390,46.8063812,15.8704495
62389,46.9037474,15.7112919
62388,46.7977779,15.7591666
62387,46.8355129,15.96097293783466
62386,47.0006028,15.9346832
62385,46.9551045,15.5964983
62384,46.9408549,15.7920875
62383,46.7083655,15.7690617
62382,46.9870629,15.7650312
62381,46.93587225,15.658490241694643
62380,46.8742452,15.826349
62379,46.9527822,15.8886091
62378,46.9360244,16.0104808
62377,46.7517263,15.8304298
62376,46.6880556,15.9880546
62375,46.8744727,15.9049632
62372,46.978392,16.058102
62368,46.7857098,15.9450189
62343,46.8043385,15.7106908
62335,46.7642309,15.9668861
62332,46.8851422,15.9739692
62330,46.8543742,15.7379483
62326,46.7209711,15.947201
62314,47.0281875,15.790244
62311,46.9886719,15.8370708
62279,47.4841608,15.857686936091689
62278,47.406214,15.8883404
62277,47.3881527,15.9920125
62276,47.2309666,16.063281489467077
62275,47.302891,15.8340187
62274,47.1776977,16.0991378
62273,47.0128855,16.100808
62272,47.2247418,15.9117162
62271,47.0875238,15.9258432
62270,47.19571295,15.8941621494046
62269,47.0795651,15.9926641
62268,47.3399814,15.9924329
62267,47.0499925,16.0816815
62266,47.193497300000004,15.845534080559819
62265,47.416287,16.0189451
62264,47.168506,16.0088882
62262,47.4257927,15.7864361
62256,47.250548,15.806825786845785
62252,47.0309571,16.0176977
62247,47.4778406,16.1095566
62245,47.441083,15.9540537
62244,47.2816343,16.0252657
62242,47.4670093,15.7676521
62235,47.3156443,15.8574327
62233,47.4450088,16.06516
62232,47.0471934,15.8965914
62226,47.227336,16.080139
62220,47.26910245,15.930687161504427
62219,47.2809371,15.9691769
62216,47.1493875,15.8974288
62214,47.3113284,15.9643405
62211,47.4415247,16.057816
62209,47.1988466,15.961603
62206,47.1430636,16.0985464
62205,47.22582045,16.007389936528394
62202,47.116084,16.0516461
62148,47.52309755,15.069765566502937
62147,47.5183601,15.2197291
62146,47.4419748,15.364869458204257
62145,47.5588062,15.502057
62144,47.6628048,15.5783121
62143,47.6053538,15.6723805
62142,47.7717395,15.3174781
62141,47.5049711,15.4498601
62140,47.4405481,15.2901669
62139,47.4121987,15.2721668
62138,47.56930010000001,15.260717022715937
62135,47.5585706,15.3376224
62132,47.4666682,15.5002776
62131,47.6155452,15.7524034
62128,47.4830747,15.3709077
62125,47.3594682,15.3445055
62116,47.5678089,15.6222548
62115,47.5453375,15.5596098
62105,47.3934357,15.461646275572281
62048,47.1533213,14.7366379
62047,48.2274518,15.3572755
62046,47.2275301,14.8588444
62045,47.30781405,14.859571887952953
62044,47.328852999999995,14.463291605252161
62043,47.2270975,14.578218916859576
62042,47.0683385,14.69537
62041,47.2147399,14.8297233
62040,47.1694082,14.6601079
62039,47.1429985,14.878193109151198
62038,47.1912045,14.7549244
62036,47.195468149999996,14.43270053931859
62034,47.2742316,14.7862002
62032,47.1862661,14.5879462
62026,47.2066759,14.4998429
